Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Acantholiparis caecus,NA,Fanged Snailfish,NA,F-ACCA,AFC4G21020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Acantholiparis opercularis,NA,Spiny Snailfish,NA,F-ACOP,AFC4G21010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Acipenser medirostris,NA,Green Sturgeon,NA,F-ACME,AFCAA01030,G2,May-22,S2S3N,May-19,May-19,SC (Nov 2013),NA,Blue,NA,NA,Alsek Ranges; Bulkley Ranges; Central Boundary Ranges; Continental Slope; Central Pacific Ranges; Cranberry Upland; Dixon Entrance; Eastern Pacific Ranges; Eastern Skeena Mountains; Fraser Lowland; Georgia Lowland; Hecate Lowland; Hecate Strait; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Kimsquit Mountains; Kitimat Ranges; Leeward Pacific Ranges; Meziadin Mountains; Nass Basin; Nanaimo Lowland; Nass Mountains; Northern Boundary Ranges; North Coast Fjords; Nicola Basin; Northern Pacific Ranges; Northern Skeena Mountains; Northwestern Cascade Ranges; Nahwitti Lowland; Okanagan Range; Outer Fjordland; Pavilion Ranges; Queen Charlotte Lowland; Queen Charlotte Ranges; Queen Charlotte Sound; Queen Charlotte Strait; Southern Boreal Plateau; Southern Boundary Ranges; Southern Chilcotin Ranges; Southern Gulf Islands; Skidegate Plateau; Strait of Georgia; Southern Pacific Ranges; Southern Skeena Mountains; Stikine Highland; Stikine Plateau; Tatshenshini Basin; Tagish Highland; Teslin Plateau; Tahltan Highland; Vancouver Island Shelf,NA,NA,NA,1-SC (Aug 2006),NA,2 - May be at risk(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,1;2;3;5;6;8,Capital Regional District; Central Coast Regional District; Comox Valley Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; North Coast Regional District; Regional District of Bulkley-Nechako; Regional District of Kitimat-Stikine; Regional District of Mount Waddington; Regional District of Nanaimo; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Stikine Region (Unincorporated); Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Princeton; Squamish; Whistler; Pemberton; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Kitimat; Stewart; Terrace; Daajing Giids; Masset; Port Clements; Port Edward; Prince Rupert; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,CDF; CWH,Ocean / Eelgrass Beds / Obligate ; Ocean / Intertidal Marine / Obligate ; Ocean / Kelp Bed / Obligate ; Ocean / Marine Island / Obligate ; Ocean / Pelagic / Obligate ; Ocean / Reefs / Obligate ; Ocean / Sheltered Waters - Marine / Obligate ; Ocean / Subtidal Marine / Obligate,Native,Regularly occurring,NA,NA,N,N,"Non-breeder that has very sporadic records, thus distinct occurrences cannot be mapped."
Acipenser transmontanus,NA,White Sturgeon,NA,F-ACTR,AFCAA01050,G3,Mar-24,S2,Apr-18,Nov-94,E/T (Nov 2012),"COSEWIC status is applied at the population level. Populations 1, 2 and 5 are E and population 4 is T.",No Status,NA,NA,Babine Upland; Big Bend Trench; Bowron Valley; Bulkley Basin; Bulkley Ranges; Cariboo Basin; Cariboo Mountains; Cariboo Plateau; Central Boundary Ranges; Central Columbia Mountains; Central Chilcotin Ranges; Chilcotin Plateau; Central Park Ranges; Central Pacific Ranges; Cranberry Upland; East Kootenay Trench; Elk Valley; Eastern Purcell Mountains; Eastern Pacific Ranges; Eastern Skeena Mountains; Fraser River Basin; Fraser Lowland; Front Ranges; Georgia Lowland; Guichon Upland; Hart Foothills; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Leeward Pacific Ranges; Manson Plateau; McGregor Plateau; McGillivray Range; Meziadin Mountains; Misinchinka Ranges; Nass Basin; Nanaimo Lowland; Nazko Upland; Nechako Lowland; Nechako Upland; Northern Hart Ranges; Nicola Basin; Northern Kootenay Mountains; Northern Okanagan Basin; Northern Okanagan Highland; Northern Omineca Mountains; Northern Park Ranges; Northern Shuswap Highland; Northern Skeena Mountains; Northern Thompson Upland; Northwestern Cascade Ranges; Okanagan Range; Outer Fjordland; Pavilion Ranges; Parsnip Trench; Peace Foothills; Quesnel Highland; Quesnel Lowland; Southern Boreal Plateau; Southern Boundary Ranges; Southern Columbia Mountains; Southern Chilcotin Ranges; Selkirk Foothills; Southern Gulf Islands; Shuswap Basin; Southern Hart Ranges; Southern Okanogan Basin; Strait of Georgia; Southern Okanogan Highland; Southern Omineca Mountains; Southern Park Ranges; Southern Purcell Mountains; Southern Pacific Ranges; Shuswap River Highland; Southern Skeena Mountains; Stikine Highland; Thompson Basin; Tranquille Upland; Upper Columbia Valley; Upper Fraser Trench; Western Chilcotin Ranges; Western Chilcotin Upland; Western Okanagan Upland,NA,NA,NA,1-E,"Partial: Columbia River, Nechako River and Kootenay River populations on Schedule 1 (2006-08-15).",1 - At Risk(2005),II,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,1;2;3;4;5;6;7;8;9,Capital Regional District; Central Coast Regional District; Comox Valley Regional District; Cariboo Regional District; Columbia Shuswap Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Peace River Regional District; Regional District of Bulkley-Nechako; Regional District of Central Kootenay; Regional District of Central Okanagan; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of Kitimat-Stikine; Regional District of Mount Waddington; Regional District of Nanaimo; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Stikine Region (Unincorporated); Thompson-Nicola Regional District; qathet Regional District,Vanderhoof; Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Keremeos; Princeton; Lillooet; Squamish; Whistler; Pemberton; Ashcroft; Chase; Clinton; Kamloops; Logan Lake; Barriere; Cache Creek; Clearwater; Lytton; Merritt; Sun Peaks; Nelson; Slocan; Salmo; Silverton; Creston; Kaslo; New Denver; Nakusp; Castlegar; 100 Mile House; Golden; Revelstoke; Salmon Arm; Sicamous; Quesnel; Canal Flats; Wells; Invermere; ; Kimberley; Radium Hot Springs; Williams Lake; Grand Forks; Greenwood; Midway; Montrose; Rossland; Trail; Warfield; Fruitvale; Armstrong; Coldstream; Enderby; Spallumcheen; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Burns Lake; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; Mackenzie; McBride; Prince George; Valemont; Fort St James; Fraser Lake; Granisle; Houston; Smithers; Lake Country; West Kelowna; Telkwa; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,BG; CDF; CWH; ICH; IDF; MS; PP; SBS,Lakes / Lake / Unknown ; Lakes / Pond/Open Water / Unknown ; Ocean / Eelgrass Beds / Facultative - occasional use ; Ocean / Intertidal Marine / Facultative - occasional use ; Ocean / Kelp Bed / Facultative - occasional use ; Ocean / Marine Island / Facultative - occasional use ; Ocean / Pelagic / Facultative - occasional use ; Ocean / Reefs / Facultative - occasional use ; Ocean / Sheltered Waters - Marine / Facultative - occasional use ; Ocean / Subtidal Marine / Facultative - occasional use ; Other Unique Habitats / Estuary / Unknown ; Stream/River / Stream/River / Obligate,Native,Regularly occurring,NA,NA,N,N,NA
Acipenser transmontanus pop. 1,NA,White Sturgeon (Upper Kootenay River Population),NA,F-ACTR-01,AFCAA01051,G3T1Q,Feb-06,S1,Apr-18,Nov-93,E (Nov 2012),NA,Red,NA,NA,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; East Kootenay Trench; Eastern Purcell Mountains; McGillivray Range; Northern Kootenay Mountains; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Southern Purcell Mountains; Shuswap River Highland,NA,NA,NA,1-E (Jun 2003),NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,3;4;7;8,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of North Okanagan; Thompson-Nicola Regional District,Nelson; Slocan; Silverton; Creston; Kaslo; New Denver; Nakusp; Revelstoke; ; Kimberley,ICH,Stream/River / Stream/River / Obligate,Native,Regularly occurring,NA,NA,N,Y,NA
Acipenser transmontanus pop. 2,NA,White Sturgeon (Upper Columbia River Population),NA,F-ACTR-02,AFCAA01052,G3T3Q,Mar-24,S1,Apr-18,Dec-94,E (Nov 2012),NA,Red,NA,NA,Big Bend Trench; Cariboo Mountains; Central Columbia Mountains; Central Park Ranges; East Kootenay Trench; Elk Valley; Eastern Purcell Mountains; McGillivray Range; Northern Kootenay Mountains; Northern Okanagan Basin; Northern Okanagan Highland; Northern Park Ranges; Northern Shuswap Highland; Southern Columbia Mountains; Selkirk Foothills; Shuswap Basin; Southern Okanogan Basin; Southern Okanogan Highland; Southern Park Ranges; Southern Purcell Mountains; Shuswap River Highland; Upper Columbia Valley; Upper Fraser Trench,NA,NA,NA,1-E (Jun 2003),NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,3;4;7;8,Columbia Shuswap Regional District; Regional District of Central Kootenay; Regional District of Central Okanagan; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Thompson-Nicola Regional District,Nelson; Slocan; Salmo; Silverton; Creston; Kaslo; New Denver; Nakusp; Castlegar; Golden; Revelstoke; Salmon Arm; Sicamous; Canal Flats; Invermere; ; Kimberley; Radium Hot Springs; Grand Forks; Greenwood; Midway; Montrose; Rossland; Trail; Warfield; Fruitvale; Coldstream; Spallumcheen; Lake Country,ICH,Lakes / Lake / Unknown ; Lakes / Pond/Open Water / Unknown ; Stream/River / Stream/River / Unknown,Native,Regularly occurring,NA,NA,N,Y,NA
Acipenser transmontanus pop. 4,NA,White Sturgeon (Lower Fraser River Population),NA,F-ACTR-04,AFCAA01054,G3T2Q,Mar-02,S1S2,Apr-18,Apr-18,T (Nov 2012),NA,Red,NA,NA,Cariboo Basin; Central Chilcotin Ranges; Chilcotin Plateau; Central Pacific Ranges; Eastern Pacific Ranges; Fraser River Basin; Fraser Lowland; Georgia Lowland; Guichon Upland; Hozameen Range; Juan de Fuca Strait; Johnstone Strait; Leeward Pacific Ranges; Nanaimo Lowland; Nicola Basin; Northern Okanagan Basin; Northern Thompson Upland; Northwestern Cascade Ranges; Okanagan Range; Outer Fjordland; Pavilion Ranges; Southern Chilcotin Ranges; Southern Gulf Islands; Shuswap Basin; Southern Okanogan Basin; Strait of Georgia; Southern Pacific Ranges; Thompson Basin; Tranquille Upland; Western Chilcotin Ranges; Western Okanagan Upland,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,1;2;3;5;8,Capital Regional District; Comox Valley Regional District; Cariboo Regional District; Columbia Shuswap Regional District; Cowichan Valley Regional District; Fraser Valley Regional District; Metro Vancouver Regional District; Regional District of Central Okanagan; Regional District of Mount Waddington; Regional District of Nanaimo; Regional District of North Okanagan; Regional District of Okanagan-Similkameen; Sunshine Coast Regional District; Squamish-Lillooet Regional District; Strathcona Regional District; Thompson-Nicola Regional District; qathet Regional District,Anmore; Belcarra; Bowen Island; Burnaby; Coquitlam; Delta; Langley - City; Maple Ridge; New Westminster; North Vancouver - City; Pitt Meadows; Port Coquitlam; Port Moody; Richmond; Surrey; Vancouver; West Vancouver; White Rock; Lions Bay; Langley - District; North Vancouver - District; Keremeos; Princeton; Lillooet; Squamish; Whistler; Pemberton; Ashcroft; Chase; Kamloops; Logan Lake; Cache Creek; Lytton; Merritt; Central Saanich; Highlands; Langford; North Saanich; Oak Bay; Saanich; Sidney; Comox; Courtenay; Ladysmith; North Cowichan; Parksville; Lantzville; Nanaimo; Qualicum Beach; Powell River; Gibsons; Sechelt; Campbell River; West Kelowna; Abbotsford; Chilliwack; Harrison Hot Springs; Hope; Kent; Mission,CDF; CWH; IDF,Ocean / Eelgrass Beds / Facultative - frequent use ; Ocean / Intertidal Marine / Facultative - frequent use ; Ocean / Kelp Bed / Facultative - frequent use ; Ocean / Marine Island / Facultative - frequent use ; Ocean / Pelagic / Facultative - frequent use ; Ocean / Reefs / Facultative - frequent use ; Ocean / Sheltered Waters - Marine / Facultative - frequent use ; Ocean / Subtidal Marine / Facultative - frequent use ; Stream/River / Stream/River / Obligate,Native,Regularly occurring,NA,NA,Y,Y,NA
Acipenser transmontanus pop. 5,NA,White Sturgeon (Upper Fraser River Population),NA,F-ACTR-05,AFCAA01055,G3T1Q,Oct-01,S2,Apr-18,Jun-18,E (Nov 2012),NA,Red,NA,NA,Babine Upland; Big Bend Trench; Bowron Valley; Bulkley Basin; Bulkley Ranges; Cariboo Basin; Cariboo Mountains; Cariboo Plateau; Central Columbia Mountains; Central Chilcotin Ranges; Chilcotin Plateau; Central Park Ranges; Cranberry Upland; Eastern Purcell Mountains; Eastern Pacific Ranges; Eastern Skeena Mountains; Fraser River Basin; Front Ranges; Guichon Upland; Hart Foothills; Hozameen Range; Leeward Pacific Ranges; Manson Plateau; McGregor Plateau; Misinchinka Ranges; Nazko Upland; Nechako Lowland; Nechako Upland; Northern Hart Ranges; Nicola Basin; Northern Kootenay Mountains; Northern Park Ranges; Northern Shuswap Highland; Northern Thompson Upland; Okanagan Range; Pavilion Ranges; Parsnip Trench; Peace Foothills; Quesnel Highland; Quesnel Lowland; Southern Chilcotin Ranges; Shuswap Basin; Southern Hart Ranges; Southern Omineca Mountains; Southern Park Ranges; Shuswap River Highland; Southern Skeena Mountains; Thompson Basin; Tranquille Upland; Upper Columbia Valley; Upper Fraser Trench; Western Chilcotin Ranges; Western Chilcotin Upland,NA,NA,NA,1-E (Jun 2003),NA,NA,NA,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Acipenseriformes,Acipenseridae,2;3;4;5;6;7;8;9,Cariboo Regional District; Columbia Shuswap Regional District; Fraser Valley Regional District; Peace River Regional District; Regional District of Bulkley-Nechako; Regional District of Central Kootenay; Regional District of East Kootenay; Regional District of Fraser-Fort George; Regional District of Kitimat-Stikine; Regional District of Okanagan-Similkameen; Squamish-Lillooet Regional District; Stikine Region (Unincorporated); Thompson-Nicola Regional District,Vanderhoof; Princeton; Lillooet; Chase; Clinton; Barriere; Clearwater; Lytton; Sun Peaks; 100 Mile House; Revelstoke; Quesnel; Wells; Williams Lake; Burns Lake; Mackenzie; McBride; Prince George; Valemont; Fort St James; Fraser Lake; Granisle; Houston; Smithers; Telkwa,ICH; SBS,Lakes / Lake / Unknown ; Lakes / Pond/Open Water / Unknown ; Stream/River / Stream/River / Obligate,Native,Regularly occurring,NA,NA,Y,Y,NA
Acrocheilus alutaceus,NA,Chiselmouth,NA,F-ACAL,AFCJB01010,G5,Oct-11,S4,May-19,May-19,NAR (May 2003),NA,Yellow,NA,NA,Bulkley Basin; Chilcotin Plateau; Hozameen Range; Nazko Upland; Nechako Lowland; Nechako Upland; Nicola Basin; Northern Okanagan Basin; Northern Okanagan Highland; Okanagan Range; Quesnel Lowland; Selkirk Foothills; Southern Okanogan Basin; Southern Okanogan Highland; Western Chilcotin Ranges; Western Chilcotin Upland; Western Okanagan Upland,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,5;6;7;8,Cariboo Regional District; Regional District of Bulkley-Nechako; Regional District of Fraser-Fort George; Regional District of Kootenay Boundary; Regional District of Okanagan-Similkameen; Thompson-Nicola Regional District,Keremeos; Osoyoos; Princeton; Oliver; Grand Forks; Greenwood; Midway,NA,NA,Native,Regularly occurring,NA,NA,N,W,NA
Agonopsis vulsa,NA,Northern Spearnose Poacher,NA,F-AGVU,AFC4F02020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
